Test Description,Passed,Reason
Verifying `10.10.5.1` reachable from device `dnsroot`,True,OK
Verifying `10.10.5.10` reachable from device `dnsroot`,True,OK
Verifying `10.0.12.1` reachable from device `dnsorg`,True,OK
Verifying `10.0.12.2` reachable from device `dnsorg`,True,OK
Verifying `10.0.13.1` reachable from device `dnsorg`,True,OK
Verifying `10.0.13.2` reachable from device `dnsorg`,True,OK
Verifying `10.0.14.1` reachable from device `dnsorg`,True,OK
Verifying `10.0.14.2` reachable from device `dnsorg`,True,OK
Verifying `10.0.25.1` reachable from device `dnsorg`,True,OK
Verifying `10.0.25.2` reachable from device `dnsorg`,True,OK
Verifying `10.0.35.1` reachable from device `dnsorg`,True,OK
Verifying `10.0.35.2` reachable from device `dnsorg`,True,OK
Verifying `10.0.45.1` reachable from device `dnsorg`,True,OK
Verifying `10.0.45.2` reachable from device `dnsorg`,True,OK
Verifying `10.10.1.1` reachable from device `dnsorg`,True,OK
Verifying `10.10.1.10` reachable from device `dnsorg`,True,OK
Verifying `10.10.2.1` reachable from device `dnsorg`,True,OK
Verifying `10.10.2.10` reachable from device `dnsorg`,True,OK
Verifying `10.10.3.1` reachable from device `dnsorg`,True,OK
Verifying `10.10.3.10` reachable from device `dnsorg`,True,OK
Verifying `10.10.4.1` reachable from device `dnsorg`,True,OK
Verifying `10.10.4.10` reachable from device `dnsorg`,True,OK
Verifying `10.10.5.1` reachable from device `dnsorg`,True,OK
Verifying `10.10.5.10` reachable from device `dnsorg`,True,OK
Verifying `10.0.12.1` reachable from device `dnslocal`,True,OK
Verifying `10.0.12.2` reachable from device `dnslocal`,True,OK
Verifying `10.0.13.1` reachable from device `dnslocal`,True,OK
Verifying `10.0.13.2` reachable from device `dnslocal`,True,OK
Verifying `10.0.14.1` reachable from device `dnslocal`,True,OK
Verifying `10.0.14.2` reachable from device `dnslocal`,True,OK
Verifying `10.0.25.1` reachable from device `dnslocal`,True,OK
Verifying `10.0.25.2` reachable from device `dnslocal`,True,OK
Verifying `10.0.35.1` reachable from device `dnslocal`,True,OK
Verifying `10.0.35.2` reachable from device `dnslocal`,True,OK
Verifying `10.0.45.1` reachable from device `dnslocal`,True,OK
Verifying `10.0.45.2` reachable from device `dnslocal`,True,OK
Verifying `10.10.1.1` reachable from device `dnslocal`,True,OK
Verifying `10.10.1.10` reachable from device `dnslocal`,True,OK
Verifying `10.10.2.1` reachable from device `dnslocal`,True,OK
Verifying `10.10.2.10` reachable from device `dnslocal`,True,OK
Verifying `10.10.3.1` reachable from device `dnslocal`,True,OK
Verifying `10.10.3.10` reachable from device `dnslocal`,True,OK
Verifying `10.10.4.1` reachable from device `dnslocal`,True,OK
Verifying `10.10.4.10` reachable from device `dnslocal`,True,OK
Verifying `10.10.5.1` reachable from device `dnslocal`,True,OK
Verifying `10.10.5.10` reachable from device `dnslocal`,True,OK
Verifying `10.0.12.1` reachable from device `server`,True,OK
Verifying `10.0.12.2` reachable from device `server`,True,OK
Verifying `10.0.13.1` reachable from device `server`,True,OK
Verifying `10.0.13.2` reachable from device `server`,True,OK
Verifying `10.0.14.1` reachable from device `server`,True,OK
Verifying `10.0.14.2` reachable from device `server`,True,OK
Verifying `10.0.25.1` reachable from device `server`,True,OK
Verifying `10.0.25.2` reachable from device `server`,True,OK
Verifying `10.0.35.1` reachable from device `server`,True,OK
Verifying `10.0.35.2` reachable from device `server`,True,OK
Verifying `10.0.45.1` reachable from device `server`,True,OK
Verifying `10.0.45.2` reachable from device `server`,True,OK
Verifying `10.10.1.1` reachable from device `server`,True,OK
Verifying `10.10.1.10` reachable from device `server`,True,OK
Verifying `10.10.2.1` reachable from device `server`,True,OK
Verifying `10.10.2.10` reachable from device `server`,True,OK
Verifying `10.10.3.1` reachable from device `server`,True,OK
Verifying `10.10.3.10` reachable from device `server`,True,OK
Verifying `10.10.4.1` reachable from device `server`,True,OK
Verifying `10.10.4.10` reachable from device `server`,True,OK
Verifying `10.10.5.1` reachable from device `server`,True,OK
Verifying `10.10.5.10` reachable from device `server`,True,OK
Checking that bgpd is not running on device `r1`,True,OK
Checking that ripd is not running on device `r1`,True,OK
Checking that ospfd is not running on device `r1`,True,OK
Checking that bgpd is not running on device `r2`,True,OK
Checking that ripd is not running on device `r2`,True,OK
Checking that ospfd is not running on device `r2`,True,OK
Checking that bgpd is not running on device `r3`,True,OK
Checking that ripd is not running on device `r3`,True,OK
Checking that ospfd is not running on device `r3`,True,OK
Checking that bgpd is not running on device `r4`,True,OK
Checking that ripd is not running on device `r4`,True,OK
Checking that ospfd is not running on device `r4`,True,OK
Checking that bgpd is not running on device `r5`,True,OK
Checking that ripd is not running on device `r5`,True,OK
Checking that ospfd is not running on device `r5`,True,OK
Checking that named is not running on device `client`,True,OK
Checking that named is running on device `dnsroot`,True,OK
Checking that named is running on device `dnsorg`,True,OK
Checking that named is running on device `dnslocal`,True,OK
Checking that apache2 is running on device `server`,True,OK
Checking the routing table of r1,True,OK
Checking the routing table of r2,True,OK
Checking the routing table of r3,True,OK
Checking the routing table of r4,True,OK
Checking the routing table of r5,True,OK
Checking the routing table of client,True,OK
Checking the routing table of dnsroot,True,OK
Checking the routing table of dnsorg,True,OK
Checking the routing table of dnslocal,True,OK
Checking the routing table of server,True,OK
Checking on `dnsroot` that `10.10.2.10` is the authority for domain `.`,True,OK
Checking on `dnsroot` that `10.10.2.10` is the authority for domain `.`,True,OK
Checking on `dnsroot` that `10.10.2.10` is the authority for domain `.`,True,OK
Checking on `dnsorg` that `10.10.3.10` is the authority for domain `org`,True,OK
Checking on `dnslocal` that `10.10.4.10` is the authority for domain `kathara.org`,True,OK
Checking that `10.10.2.10` is the local name server for device `client`,True,OK
Checking correctness of DNS records,True,OK
